elo,name,date,year,color,id,Master_id
1500,Arsenal,2019-08-08T19:00:00Z,2019-20,#EF0107,1.0,0.0
1500,Aston Villa,2019-08-08T19:00:00Z,2019-20,#670E36,2.0,1.0
1500,Bournemouth,2019-08-08T19:00:00Z,2019-20,#DA291C,3.0,2.0
1500,Brentford,2019-08-08T19:00:00Z,2019-20,#E30613,,3.0
1500,Brighton,2019-08-08T19:00:00Z,2019-20,#0057B8,4.0,4.0
1500,Burnley,2019-08-08T19:00:00Z,2019-20,#6C1D45,5.0,5.0
1500,Chelsea,2019-08-08T19:00:00Z,2019-20,#034694,6.0,6.0
1500,Crystal Palace,2019-08-08T19:00:00Z,2019-20,#1B458F,7.0,7.0
1500,Everton,2019-08-08T19:00:00Z,2019-20,#003399,8.0,8.0
1500,Fulham,2019-08-08T19:00:00Z,2019-20,#CC0000,,9.0
1500,Ipswich,2019-08-08T19:00:00Z,2019-20,,,10.0
1500,Leeds,2019-08-08T19:00:00Z,2019-20,#FFCD00,,11.0
1500,Leicester,2019-08-08T19:00:00Z,2019-20,#003090,9.0,12.0
1500,Liverpool,2019-08-08T19:00:00Z,2019-20,#C8102E,10.0,13.0
1500,Luton,2019-08-08T19:00:00Z,2019-20,#FF6600,,14.0
1500,Man City,2019-08-08T19:00:00Z,2019-20,#6CABDD,11.0,15.0
1500,Man Utd,2019-08-08T19:00:00Z,2019-20,#DA291C,12.0,16.0
1500,Newcastle,2019-08-08T19:00:00Z,2019-20,#241F20,13.0,17.0
1500,Norwich,2019-08-08T19:00:00Z,2019-20,#FFF200,14.0,18.0
1500,Nott'm Forest,2019-08-08T19:00:00Z,2019-20,#DD0000,,19.0
1500,Sheffield Utd,2019-08-08T19:00:00Z,2019-20,#EE2737,15.0,20.0
1500,Southampton,2019-08-08T19:00:00Z,2019-20,#D71920,16.0,21.0
1500,Spurs,2019-08-08T19:00:00Z,2019-20,#132257,17.0,22.0
1500,Watford,2019-08-08T19:00:00Z,2019-20,#FFEE00,18.0,23.0
1500,West Brom,2019-08-08T19:00:00Z,2019-20,#122F67,,24.0
1500,West Ham,2019-08-08T19:00:00Z,2019-20,#7A263A,19.0,25.0
1500,Wolves,2019-08-08T19:00:00Z,2019-20,#FDB913,20.0,26.0
1525.0,Liverpool,2019-08-09T19:00:00Z,2019-20,#C8102E,10.0,13.0
1475.0,Norwich,2019-08-09T19:00:00Z,2019-20,#FFF200,14.0,18.0
1475.0,West Ham,2019-08-10T11:30:00Z,2019-20,#7A263A,19.0,25.0
1525.0,Man City,2019-08-10T11:30:00Z,2019-20,#6CABDD,11.0,15.0
1500.0,Bournemouth,2019-08-10T14:00:00Z,2019-20,#DA291C,3.0,2.0
1500.0,Sheffield Utd,2019-08-10T14:00:00Z,2019-20,#EE2737,15.0,20.0
1525.0,Burnley,2019-08-10T14:00:00Z,2019-20,#6C1D45,5.0,5.0
1475.0,Southampton,2019-08-10T14:00:00Z,2019-20,#D71920,16.0,21.0
1500.0,Crystal Palace,2019-08-10T14:00:00Z,2019-20,#1B458F,7.0,7.0
1500.0,Everton,2019-08-10T14:00:00Z,2019-20,#003399,8.0,8.0
1475.0,Watford,2019-08-10T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1525.0,Brighton,2019-08-10T14:00:00Z,2019-20,#0057B8,4.0,4.0
1525.0,Spurs,2019-08-10T16:30:00Z,2019-20,#132257,17.0,22.0
1475.0,Aston Villa,2019-08-10T16:30:00Z,2019-20,#670E36,2.0,1.0
1500.0,Leicester,2019-08-11T13:00:00Z,2019-20,#003090,9.0,12.0
1500.0,Wolves,2019-08-11T13:00:00Z,2019-20,#FDB913,20.0,26.0
1475.0,Newcastle,2019-08-11T13:00:00Z,2019-20,#241F20,13.0,17.0
1525.0,Arsenal,2019-08-11T13:00:00Z,2019-20,#EF0107,1.0,0.0
1525.0,Man Utd,2019-08-11T15:30:00Z,2019-20,#DA291C,12.0,16.0
1475.0,Chelsea,2019-08-11T15:30:00Z,2019-20,#034694,6.0,6.0
1550.0,Arsenal,2019-08-17T11:30:00Z,2019-20,#EF0107,1.0,0.0
1500.0,Burnley,2019-08-17T11:30:00Z,2019-20,#6C1D45,5.0,5.0
1451.7957963472552,Aston Villa,2019-08-17T14:00:00Z,2019-20,#670E36,2.0,1.0
1523.2042036527448,Bournemouth,2019-08-17T14:00:00Z,2019-20,#DA291C,3.0,2.0
1521.426844129581,Brighton,2019-08-17T14:00:00Z,2019-20,#0057B8,4.0,4.0
1478.573155870419,West Ham,2019-08-17T14:00:00Z,2019-20,#7A263A,19.0,25.0
1523.2042036527448,Everton,2019-08-17T14:00:00Z,2019-20,#003399,8.0,8.0
1451.7957963472552,Watford,2019-08-17T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1500.0,Norwich,2019-08-17T14:00:00Z,2019-20,#FFF200,14.0,18.0
1450.0,Newcastle,2019-08-17T14:00:00Z,2019-20,#241F20,13.0,17.0
1453.573155870419,Southampton,2019-08-17T14:00:00Z,2019-20,#D71920,16.0,21.0
1546.426844129581,Liverpool,2019-08-17T14:00:00Z,2019-20,#C8102E,10.0,13.0
1525.0,Man City,2019-08-17T16:30:00Z,2019-20,#6CABDD,11.0,15.0
1525.0,Spurs,2019-08-17T16:30:00Z,2019-20,#132257,17.0,22.0
1525.0,Sheffield Utd,2019-08-18T13:00:00Z,2019-20,#EE2737,15.0,20.0
1475.0,Crystal Palace,2019-08-18T13:00:00Z,2019-20,#1B458F,7.0,7.0
1476.7957963472552,Chelsea,2019-08-18T15:30:00Z,2019-20,#034694,6.0,6.0
1498.2042036527448,Leicester,2019-08-18T15:30:00Z,2019-20,#003090,9.0,12.0
1501.7957963472552,Wolves,2019-08-19T19:00:00Z,2019-20,#FDB913,20.0,26.0
1523.2042036527448,Man Utd,2019-08-19T19:00:00Z,2019-20,#DA291C,12.0,16.0
1481.8628953601492,Aston Villa,2019-08-23T19:00:00Z,2019-20,#670E36,2.0,1.0
