,first_name,second_name,id,year,index
0,Shkodran,Mustafi,1,2019-20,0
1,Héctor,Bellerín,2,2019-20,1
2,Sead,Kolasinac,3,2019-20,2
3,Ainsley,Maitland-Niles,4,2019-20,3
4,Sokratis,Papastathopoulos,5,2019-20,4
5,Nacho,Monreal,6,2019-20,5
6,Laurent,Koscielny,7,2019-20,6
7,Konstantinos,Mavropanos,8,2019-20,7
8,Carl,Jenkinson,9,2019-20,8
9,Rob,Holding,10,2019-20,9
10,Pierre-Emerick,Aubameyang,11,2019-20,10
11,Alexandre,Lacazette,12,2019-20,11
12,Edward,Nketiah,13,2019-20,12
13,Bernd,Leno,14,2019-20,13
14,Mesut,Özil,15,2019-20,14
15,Henrikh,Mkhitaryan,16,2019-20,15
16,Granit,Xhaka,18,2019-20,16
17,Lucas,Torreira,19,2019-20,17
18,Mohamed,Elneny,20,2019-20,18
19,Matteo,Guendouzi,21,2019-20,19
20,David,Luiz Moreira Marinho,106,2019-20,20
21,Emiliano,Martínez,427,2019-20,21
22,Calum,Chambers,467,2019-20,22
23,Daniel,Ceballos Fernández,469,2019-20,23
24,Cédric,Soares,486,2019-20,24
25,Nicolas,Pépé,488,2019-20,25
26,Reiss,Nelson,489,2019-20,26
27,Joseph,Willock,490,2019-20,27
28,Gabriel Teodoro,Martinelli Silva,504,2019-20,28
29,Kieran,Tierney,515,2019-20,29
30,Bukayo,Saka,541,2019-20,30
31,Emile,Smith Rowe,576,2019-20,31
32,Tyreece,John-Jules,585,2019-20,32
33,Pablo,Marí,617,2019-20,33
34,Zech,Medley,636,2019-20,34
35,Matt,Macey,646,2019-20,35
36,Matthew,Smith,647,2019-20,36
37,Ahmed,El Mohamady,22,2019-20,37
38,James,Chester,23,2019-20,38
39,Neil,Taylor,24,2019-20,39
40,Kortney,Hause,25,2019-20,40
41,Jonathan,Kodjia,26,2019-20,41
42,Ørjan,Nyland,27,2019-20,42
43,Conor,Hourihane,28,2019-20,43
44,Jack,Grealish,29,2019-20,44
45,Anwar,El Ghazi,30,2019-20,45
46,John,McGinn,31,2019-20,46
47,Andre,Green,32,2019-20,47
48,Birkir,Bjarnason,33,2019-20,48
49,Keinan,Davis,34,2019-20,49
50,Henri,Lansbury,35,2019-20,50
51,José Ignacio,Peleteiro Romallo,36,2019-20,51
52,Tom,Heaton,94,2019-20,52
53,Daniel,Drinkwater,120,2019-20,53
54,Matt,Targett,309,2019-20,54
55,Wesley,Moraes,428,2019-20,55
56,Jed,Steer,429,2019-20,56
57,Tyrone,Mings,445,2019-20,57
58,Ezri,Konsa Ngoyo,452,2019-20,58
59,Bjorn,Engels,455,2019-20,59
60,Frédéric,Guilbert,458,2019-20,60
61,Mahmoud Ahmed,Ibrahim Hassan,465,2019-20,61
62,Douglas Luiz,Soares de Paulo,470,2019-20,62
63,Lovre,Kalinic,474,2019-20,63
64,Marvelous,Nakamba,491,2019-20,64
65,Indiana,Vassilev,600,2019-20,65
66,José,Reina,603,2019-20,66
67,Mbwana,Samatta,613,2019-20,67
68,Borja,González Tomás,623,2019-20,68
69,Kaine,Hayden,659,2019-20,69
70,Steve,Cook,58,2019-20,70
71,Nathan,Aké,59,2019-20,71
72,Charlie,Daniels,60,2019-20,72
73,Chris,Mepham,61,2019-20,73
74,Simon,Francis,62,2019-20,74
75,Adam,Smith,63,2019-20,75
76,Lloyd,Kelly,64,2019-20,76
77,Diego,Rico,65,2019-20,77
78,Jack,Simpson,66,2019-20,78
79,Callum,Wilson,67,2019-20,79
80,Joshua,King,68,2019-20,80
81,Dominic,Solanke,69,2019-20,81
82,Sam,Surridge,71,2019-20,82
83,Asmir,Begovic,72,2019-20,83
84,Artur,Boruc,73,2019-20,84
85,Mark,Travers,74,2019-20,85
86,Ryan,Fraser,75,2019-20,86
87,David,Brooks,76,2019-20,87
88,Junior,Stanislas,77,2019-20,88
89,Jordon,Ibe,78,2019-20,89
90,Lewis,Cook,79,2019-20,90
91,Andrew,Surman,80,2019-20,91
92,Dan,Gosling,81,2019-20,92
93,Jefferson,Lerma,82,2019-20,93
94,Jack,Stacey,446,2019-20,94
95,Philip,Billing,476,2019-20,95
96,Arnaut,Danjuma Groeneveld,492,2019-20,96
97,Aaron,Ramsdale,494,2019-20,97
98,Harry,Wilson,505,2019-20,98
99,Christian,Saydee,564,2019-20,99
100,Gavin,Kilkenny,565,2019-20,100
101,Mihai-Alexandru,Dobre,574,2019-20,101
102,Shane,Duffy,37,2019-20,102
103,Martín,Montoya,38,2019-20,103
104,Bernardo,Fernandes da Silva Junior,39,2019-20,104
105,Leon,Balogun,40,2019-20,105
106,Gaëtan,Bong,41,2019-20,106
107,Lewis,Dunk,42,2019-20,107
108,Matthew,Clarke,43,2019-20,108
109,Glenn,Murray,44,2019-20,109
110,Jürgen,Locadia,45,2019-20,110
111,Florin,Andone,46,2019-20,111
112,Mathew,Ryan,47,2019-20,112
113,David,Button,48,2019-20,113
114,Pascal,Groß,49,2019-20,114
115,Alireza,Jahanbakhsh,50,2019-20,115
116,José Heriberto,Izquierdo Mena,51,2019-20,116
117,Anthony,Knockaert,52,2019-20,117
118,Yves,Bissouma,53,2019-20,118
119,Davy,Pröpper,54,2019-20,119
120,Solomon,March,55,2019-20,120
121,Beram,Kayal,56,2019-20,121
122,Dale,Stephens,57,2019-20,122
123,Leandro,Trossard,421,2019-20,123
124,Dan,Burn,475,2019-20,124
125,Adam,Webster,493,2019-20,125
126,Neal,Maupay,502,2019-20,126
127,Aaron,Mooy,516,2019-20,127
128,Aaron,Connolly,534,2019-20,128
129,Tudor,Baluta,536,2019-20,129
130,Steven,Alzate,537,2019-20,130
131,Ezequiel,Schelotto,546,2019-20,131
132,Tariq,Lamptey,586,2019-20,132
133,Alexis,Mac Allister,627,2019-20,133
134,Alex,Cochrane,666,2019-20,134
135,Ben,Mee,83,2019-20,135
136,James,Tarkowski,84,2019-20,136
137,Matthew,Lowton,85,2019-20,137
138,Phil,Bardsley,86,2019-20,138
139,Charlie,Taylor,87,2019-20,139
140,Kevin,Long,88,2019-20,140
141,Ben,Gibson,89,2019-20,141
142,Ashley,Barnes,90,2019-20,142
143,Chris,Wood,91,2019-20,143
144,Matej,Vydra,92,2019-20,144
145,Nick,Pope,93,2019-20,145
146,Joe,Hart,95,2019-20,146
147,Johann Berg,Gudmundsson,96,2019-20,147
148,Dwight,McNeil,97,2019-20,148
149,Robbie,Brady,98,2019-20,149
150,Steven,Defour,99,2019-20,150
151,Jeff,Hendrick,100,2019-20,151
152,Ashley,Westwood,101,2019-20,152
153,Jack,Cork,102,2019-20,153
154,Aaron,Lennon,430,2019-20,154
155,Erik,Pieters,447,2019-20,155
156,Jay,Rodriguez,451,2019-20,156
157,Bailey,Peacock-Farrell,495,2019-20,157
158,Mace,Goodridge,571,2019-20,158
159,Anthony,Driscoll-Glennon,572,2019-20,159
160,Abd-Al-Ali Morakinyo Olaposi,Koiki,596,2019-20,160
161,Josh,Brownhill,620,2019-20,161
162,Jimmy,Dunne,638,2019-20,162
163,Bobby,Thomas,639,2019-20,163
164,Max,Thompson,640,2019-20,164
165,Lukas,Jensen,641,2019-20,165
166,Josh,Benson,653,2019-20,166
167,Joel,Mumbongo,665,2019-20,167
168,Marcos,Alonso,103,2019-20,168
169,Antonio,Rüdiger,104,2019-20,169
170,César,Azpilicueta,105,2019-20,170
171,Emerson,Palmieri dos Santos,107,2019-20,171
172,Andreas,Christensen,108,2019-20,172
173,Davide,Zappacosta,109,2019-20,173
174,Olivier,Giroud,110,2019-20,174
175,Kepa,Arrizabalaga,111,2019-20,175
176,Willy,Caballero,112,2019-20,176
177,Willian,Borges Da Silva,113,2019-20,177
178,Pedro,Rodríguez Ledesma,114,2019-20,178
179,Ruben,Loftus-Cheek,115,2019-20,179
180,Callum,Hudson-Odoi,116,2019-20,180
181,Ross,Barkley,117,2019-20,181
182,Jorge Luiz,Frello Filho,118,2019-20,182
183,N'Golo,Kanté,119,2019-20,183
184,Ethan,Ampadu,121,2019-20,184
185,Christian,Pulisic,431,2019-20,185
186,Mateo,Kovacic,432,2019-20,186
187,Kurt,Zouma,459,2019-20,187
188,Tammy,Abraham,460,2019-20,188
189,Michy,Batshuayi,461,2019-20,189
190,Robert Kenedy,Nunes do Nascimento,462,2019-20,190
191,Mason,Mount,463,2019-20,191
192,Reece,James,506,2019-20,192
193,Fikayo,Tomori,529,2019-20,193
194,Billy,Gilmour,533,2019-20,194
195,Addji Keaninkin Marc-Israel,Guehi,545,2019-20,195
196,Faustino,Anjorin,630,2019-20,196
197,Armando,Broja,631,2019-20,197
198,Lewis,Bate,657,2019-20,198
199,Patrick,van Aanholt,123,2019-20,199
200,James,Tomkins,124,2019-20,200
201,Mamadou,Sakho,125,2019-20,201
202,Joel,Ward,126,2019-20,202
203,Scott,Dann,127,2019-20,203
204,Martin,Kelly,128,2019-20,204
205,Christian,Benteke,129,2019-20,205
206,Connor,Wickham,130,2019-20,206
207,Vicente,Guaita,131,2019-20,207
208,Wayne,Hennessey,132,2019-20,208
209,Wilfried,Zaha,133,2019-20,209
210,Luka,Milivojevic,134,2019-20,210
211,Andros,Townsend,135,2019-20,211
212,Max,Meyer,136,2019-20,212
213,Jeffrey,Schlupp,137,2019-20,213
214,James,McArthur,138,2019-20,214
215,Cheikhou,Kouyaté,139,2019-20,215
216,Luke,Dreher,140,2019-20,216
217,James,McCarthy,157,2019-20,217
218,Jordan,Ayew,468,2019-20,218
219,Gary,Cahill,503,2019-20,219
220,Víctor,Camarasa,510,2019-20,220
221,Jairo,Riedewald,539,2019-20,221
222,Stephen,Henderson,556,2019-20,222
223,Sam,Woods,578,2019-20,223
224,Tyrick,Mitchell,579,2019-20,224
225,Brandon,Pierrick,580,2019-20,225
226,James,Daly,581,2019-20,226
227,Nya,Kirby,588,2019-20,227
228,Giovanni,McGregor,608,2019-20,228
229,Nikola,Tavares,635,2019-20,229
230,John-Kymani,Gordon,668,2019-20,230
231,Alex,Iwobi,17,2019-20,231
232,Lucas,Digne,141,2019-20,232
233,Yerry,Mina,142,2019-20,233
234,Michael,Keane,143,2019-20,234
235,Seamus,Coleman,144,2019-20,235
236,Leighton,Baines,145,2019-20,236
237,Cenk,Tosun,146,2019-20,237
238,Dominic,Calvert-Lewin,147,2019-20,238
239,Jordan,Pickford,148,2019-20,239
240,Maarten,Stekelenburg,149,2019-20,240
241,Richarlison,de Andrade,150,2019-20,241
242,Gylfi,Sigurdsson,151,2019-20,242
243,Bernard,Anício Caldeira Duarte,152,2019-20,243
244,Theo,Walcott,153,2019-20,244
245,Tom,Davies,154,2019-20,245
246,Ademola,Lookman,155,2019-20,246
247,Idrissa,Gueye,156,2019-20,247
248,Morgan,Schneiderlin,158,2019-20,248
249,Fabian,Delph,205,2019-20,249
250,André Filipe,Tavares Gomes,422,2019-20,250
251,Lewis,Gibson,477,2019-20,251
252,Mason,Holgate,478,2019-20,252
253,Jonas,Lössl,479,2019-20,253
254,Moise,Kean,496,2019-20,254
255,Jean-Philippe,Gbamin,497,2019-20,255
256,Djibril,Sidibé,511,2019-20,256
257,Beni,Baningime,557,2019-20,257
258,Anthony,Gordon,561,2019-20,258
259,Oumar,Niasse,570,2019-20,259
260,Rhu-endly,Martina,577,2019-20,260
261,João Manuel,Neves Virgínia,629,2019-20,261
262,Jarrad,Branthwaite,637,2019-20,262
263,Ellis,Simms,667,2019-20,263
264,Ricardo Domingos,Barbosa Pereira,159,2019-20,264
265,Benjamin,Chilwell,161,2019-20,265
266,Jonny,Evans,162,2019-20,266
267,Christian,Fuchs,163,2019-20,267
268,Çaglar,Söyüncü,164,2019-20,268
269,Wes,Morgan,165,2019-20,269
270,Jamie,Vardy,166,2019-20,270
271,Kelechi,Iheanacho,167,2019-20,271
272,Kasper,Schmeichel,168,2019-20,272
273,Eldin,Jakupovic,169,2019-20,273
274,Danny,Ward,170,2019-20,274
275,James,Maddison,171,2019-20,275
276,Harvey,Barnes,172,2019-20,276
277,Rachid,Ghezzal,173,2019-20,277
